LAMMPS data file via write_data, version 2 Aug 2023, timestep = 0, units = lj

1000 atoms
1 atom types

0.0 30.18000030517578 xlo xhi
0.0 30.18000030517578 ylo yhi
0.0 30.18000030517578 zlo zhi

Masses

1 1.

Atoms # sph
#atom-id atom-type rho esph cv entropy x y z ix iy iz
1 1 0.0 0.0 1.0 -0.00019801089365500957 27.483489990234375 10.10426139831543 29.643001556396484 0 0 0
2 1 0.0 0.0 1.0 -0.00019548847922123969 28.653547286987305 28.0935115814209 1.5549211502075195 0 0 0
3 1 0.0 0.0 1.0 -0.00020985424635000527 27.859779357910156 26.783212661743164 10.759906768798828 0 0 0
4 1 0.0 0.0 1.0 -0.0001977851934498176 3.195763349533081 20.976388931274414 17.603490829467773 0 0 0
5 1 0.0 0.0 1.0 -0.00018615039880387485 7.323103904724121 5.365487098693848 30.083585739135742 0 0 0
6 1 0.0 0.0 1.0 -0.00020985830633435398 9.272050857543945 16.013355255126953 21.412778854370117 0 0 0
7 1 0.0 0.0 1.0 -0.00019407231593504548 18.24500846862793 15.05386734008789 11.409032821655273 0 0 0
8 1 0.0 0.0 1.0 -0.00020455606863833964 18.066925048828125 9.82008171081543 21.878795623779297 0 0 0
9 1 0.0 0.0 1.0 -0.0002004677808145061 3.8077964782714844 16.037322998046875 1.7230753898620605 0 0 0
10 1 0.0 0.0 1.0 -0.0002205470809713006 17.107759475708008 5.251766681671143 20.11870002746582 0 0 0
11 1 0.0 0.0 1.0 -0.00023093214258551598 28.4423828125 10.11439323425293 18.841108322143555 0 0 0
12 1 0.0 0.0 1.0 -0.00020238422439433634 13.932857513427734 2.9236228466033936 4.29087495803833 0 0 0
13 1 0.0 0.0 1.0 -0.00041287567000836134 16.717960357666016 2.9451844692230225 4.516912460327148 0 0 0
14 1 0.0 0.0 1.0 -0.00021528720390051603 13.04782485961914 6.913791179656982 7.08678674697876 0 0 0
15 1 0.0 0.0 1.0 -0.00037370785139501095 17.34820556640625 2.3033759593963623 22.078937530517578 0 0 0
16 1 0.0 0.0 1.0 -0.00044357223669067025 17.6163387298584 11.997455596923828 8.654988288879395 0 0 0
17 1 0.0 0.0 1.0 -0.00023736647563055158 26.96784210205078 5.28541374206543 12.209972381591797 0 0 0
18 1 0.0 0.0 1.0 -0.00020234596740920097 19.181255340576172 26.762784957885742 29.597320556640625 0 0 0
19 1 0.0 0.0 1.0 -0.0002128731575794518 15.417197227478027 21.533245086669922 20.873367309570312 0 0 0
20 1 0.0 0.0 1.0 -0.00019445705402176827 6.371626377105713 9.280837059020996 12.795642852783203 0 0 0
21 1 0.0 0.0 1.0 -0.00021404340805020183 23.86556625366211 16.387887954711914 8.548091888427734 0 0 0
22 1 0.0 0.0 1.0 -0.00020067387958988547 10.981119155883789 8.968781471252441 19.386411666870117 0 0 0
23 1 0.0 0.0 1.0 -0.00017202080925926566 4.1380534172058105 13.546113014221191 21.781686782836914 0 0 0
24 1 0.0 0.0 1.0 -0.00019207516743335873 1.404253602027893 0.5305156707763672 13.27660846710205 0 0 0
25 1 0.0 0.0 1.0 -0.00045656057773157954 19.216394424438477 13.74714183807373 20.314672470092773 0 0 0
26 1 0.0 0.0 1.0 -0.00019484876247588545 2.3733484745025635 21.086761474609375 1.466681718826294 0 0 0
27 1 0.0 0.0 1.0 -0.00021623018255922943 23.639659881591797 22.244760513305664 28.024595260620117 0 0 0
28 1 0.0 0.0 1.0 -0.00019783266179729253 20.304363250732422 10.18896770477295 4.653980731964111 0 0 0
29 1 0.0 0.0 1.0 -0.00022325408644974232 23.07265853881836 29.546716690063477 9.96138858795166 0 0 0
30 1 0.0 0.0 1.0 -0.0002163195313187316 8.320806503295898 23.862850189208984 0.9076272249221802 0 0 0
31 1 0.0 0.0 1.0 -0.0003779501421377063 13.591123580932617 23.776105880737305 21.816335678100586 0 0 0
32 1 0.0 0.0 1.0 -0.00019767717458307743 10.326416969299316 21.092348098754883 4.828630447387695 0 0 0
