LAMMPS data file via write_data, version 2 Aug 2023, timestep = 0, units = lj

1000 atoms
1 atom types

0.0 1.2599210739135742 xlo xhi
0.0 1.2599210739135742 ylo yhi
0.0 1.2599210739135742 zlo zhi

Masses

1 1.

Atoms # sph
#atom-id atom-type rho esph cv entropy x y z ix iy iz
1 1 0.0 0.0 1.0 -8.714689465705305e-05 1.1473500728607178 0.4218214750289917 1.2375030517578125 0 0 0
2 1 0.0 0.0 1.0 -8.752528083277866e-05 1.196196436882019 1.1728166341781616 0.06491311639547348 0 0 0
3 1 0.0 0.0 1.0 -8.817081834422424e-05 1.1630589962005615 1.118115782737732 0.449192613363266 0 0 0
4 1 0.0 0.0 1.0 -8.740343764657155e-05 0.1334131807088852 0.875698983669281 0.7348909378051758 0 0 0
5 1 0.0 0.0 1.0 -8.702604100108147e-05 0.30571678280830383 0.22399239242076874 1.255895972251892 0 0 0
6 1 0.0 0.0 1.0 -8.743596117710695e-05 0.38707923889160156 0.6685077548027039 0.8939168453216553 0 0 0
7 1 0.0 0.0 1.0 -8.748647087486461e-05 0.76167231798172 0.6284521222114563 0.47629159688949585 0 0 0
8 1 0.0 0.0 1.0 -8.684606291353703e-05 0.7542378306388855 0.4099578559398651 0.9133716225624084 0 0 0
9 1 0.0 0.0 1.0 -8.697299927007407e-05 0.1589636504650116 0.6695083379745483 0.07193303108215332 0 0 0
10 1 0.0 0.0 1.0 -8.691990660736337e-05 0.7141956686973572 0.21924489736557007 0.839893102645874 0 0 0
11 1 0.0 0.0 1.0 -8.780322968959808e-05 1.1873809099197388 0.42224442958831787 0.7865575551986694 0 0 0
12 1 0.0 0.0 1.0 -8.727326348889619e-05 0.5816534757614136 0.1220521554350853 0.1791306734085083 0 0 0
13 1 0.0 0.0 1.0 -0.00017518948880024254 0.6979227662086487 0.12295228987932205 0.18856702744960785 0 0 0
14 1 0.0 0.0 1.0 -8.770989370532334e-05 0.5447060465812683 0.2886292636394501 0.29585129022598267 0 0 0
15 1 0.0 0.0 1.0 -0.0001739497238304466 0.7242335677146912 0.09615877270698547 0.9217269420623779 0 0 0
16 1 0.0 0.0 1.0 -0.00017525628209114075 0.7354272603988647 0.5008563995361328 0.36131882667541504 0 0 0
17 1 0.0 0.0 1.0 -8.764008089201525e-05 1.1258234977722168 0.2206495702266693 0.5097283124923706 0 0 0
18 1 0.0 0.0 1.0 -8.701393380761147e-05 0.800757646560669 1.1172629594802856 1.2355960607528687 0 0 0
19 1 0.0 0.0 1.0 -8.7441731011495e-05 0.6436200141906738 0.8989459872245789 0.8713981509208679 0 0 0
20 1 0.0 0.0 1.0 -8.698329475009814e-05 0.2659955620765686 0.3874460756778717 0.5341782569885254 0 0 0
21 1 0.0 0.0 1.0 -8.765445090830326e-05 0.9963131546974182 0.6841433048248291 0.35685622692108154 0 0 0
22 1 0.0 0.0 1.0 -8.719073230167851e-05 0.4584275484085083 0.374418705701828 0.8093223571777344 0 0 0
23 1 0.0 0.0 1.0 -8.61606458784081e-05 0.17275086045265198 0.5655080676078796 0.9093176126480103 0 0 0
24 1 0.0 0.0 1.0 -8.723760402062908e-05 0.058623217046260834 0.02214737795293331 0.5542570948600769 0 0 0
25 1 0.0 0.0 1.0 -0.00017651055532041937 0.8022246360778809 0.5739004015922546 0.8480743765830994 0 0 0
26 1 0.0 0.0 1.0 -8.710194379091263e-05 0.0990799069404602 0.8803066611289978 0.0612293966114521 0 0 0
27 1 0.0 0.0 1.0 -8.79454892128706e-05 0.986882209777832 0.9286494851112366 1.169939637184143 0 0 0
28 1 0.0 0.0 1.0 -8.714141586096957e-05 0.8476439714431763 0.4253576695919037 0.1942892074584961 0 0 0
29 1 0.0 0.0 1.0 -8.799179340712726e-05 0.963211715221405 1.2334834337234497 0.4158569574356079 0 0 0
30 1 0.0 0.0 1.0 -0.0001758567086653784 0.5259549617767334 0.11912723630666733 0.15692046284675598 0 0 0
31 1 0.0 0.0 1.0 -8.727850945433602e-05 0.3473677933216095 0.9961997270584106 0.037890613079071045 0 0 0
32 1 0.0 0.0 1.0 -0.0001729385694488883 0.5673871040344238 0.9925784468650818 0.9107640981674194 0 0 0
33 1 0.0 0.0 1.0 -8.814223110675812e-05 0.43109577894210815 0.8805398941040039 0.20158028602600098 0 0 0
34 1 0.0 0.0 1.0 -8.687393710715696e-05 0.032227031886577606 1.1335813999176025 0.8371901512145996 0 0 0
35 1 0.0 0.0 1.0 -0.00017498173110652715 1.1166810989379883 0.2759339213371277 1.1119022369384766 0 0 0
36 1 0.0 0.0 1.0 -0.00017327917157672346 0.5912643074989319 0.3818140923976898 0.3715832829475403 0 0 0
37 1 0.0 0.0 1.0 -0.00017454809858463705 1.0317027568817139 0.7956603765487671 1.122326135635376 0 0 0
